DATA,TIPO_REFEICAO,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL,DIA_SEMANA,DEMANDA
2024-06-28,almoço,42,0,0,267,801,309,801,5,BAIXA
2024-06-28,jantar,96,0,0,762,2286,858,2286,5,NORMAL
2024-06-29,jantar,68,0,0,460,1380,528,1380,6,BAIXA
2024-07-01,almoço,78,0,0,495,1485,573,1485,1,BAIXA
2024-07-01,jantar,93,0,0,809,2427,902,2427,1,NORMAL
2024-07-02,almoço,80,0,0,494,1482,574,1482,2,BAIXA
2024-07-02,jantar,89,0,0,738,2214,827,2214,2,BAIXA
2024-07-03,almoço,67,0,0,417,1251,484,1251,3,BAIXA
2024-07-03,jantar,93,3,45.45,682,2046,778,2091.45,3,BAIXA
2024-07-04,almoço,61,0,0,455,1365,516,1365,4,BAIXA
2024-07-04,jantar,84,0,0,625,1875,709,1875,4,BAIXA
2024-07-05,almoço,51,0,0,322,966,373,966,5,BAIXA
2024-07-05,jantar,86,1,15.15,614,1842,701,1857.15,5,BAIXA
2024-07-06,jantar,87,0,0,484,1452,571,1452,6,BAIXA
2024-07-08,almoço,60,1,15.15,438,1314,499,1329.15,1,BAIXA
2024-07-08,jantar,101,0,0,661,1983,762,1983,1,BAIXA
2024-07-09,almoço,62,0,0,396,1188,458,1188,2,BAIXA
2024-07-09,jantar,99,0,0,636,1908,735,1908,2,BAIXA
2024-07-10,almoço,64,2,30.3,451,1353,517,1383.3,3,BAIXA
2024-07-10,jantar,97,1,15.15,686,2058,784,2073.15,3,BAIXA
2024-07-11,almoço,54,0,0,344,1032,398,1032,4,BAIXA
2024-07-11,jantar,89,1,15.15,659,1977,749,1992.15,4,BAIXA
2024-07-12,almoço,44,0,0,216,648,260,648,5,BAIXA
2024-07-12,jantar,83,0,0,566,1698,649,1698,5,BAIXA
2024-07-13,jantar,63,0,0,331,993,394,993,6,BAIXA
2024-07-15,almoço,71,0,0,445,1335,516,1335,1,BAIXA
2024-07-15,jantar,86,1,15.15,563,1689,650,1704.15,1,BAIXA
2024-07-17,almoço,57,0,0,398,1194,455,1194,3,BAIXA
2024-07-17,jantar,90,0,0,622,1866,712,1866,3,BAIXA
2024-07-18,almoço,59,0,0,372,1116,431,1116,4,BAIXA
2024-07-18,jantar,91,3,45.45,558,1674,652,1719.45,4,BAIXA
2024-07-19,almoço,41,0,0,209,627,250,627,5,BAIXA
2024-07-19,jantar,86,0,0,508,1524,594,1524,5,BAIXA
2024-07-20,jantar,51,2,30.3,300,900,353,930.3,6,BAIXA
2024-07-22,almoço,60,0,0,364,1092,424,1092,1,BAIXA
2024-07-22,jantar,77,3,45.45,581,1743,661,1788.45,1,BAIXA
2024-07-23,almoço,64,0,0,373,1119,437,1119,2,BAIXA
2024-07-23,jantar,73,0,0,534,1602,607,1602,2,BAIXA
2024-07-24,almoço,70,0,0,367,1101,437,1101,3,BAIXA
2024-07-24,jantar,83,1,15.15,606,1818,690,1833.15,3,BAIXA
2024-07-25,almoço,53,0,0,345,1035,398,1035,4,BAIXA
2024-07-25,jantar,83,1,15.15,550,1650,634,1665.15,4,BAIXA
2024-07-26,almoço,55,0,0,248,744,303,744,5,BAIXA
2024-07-26,jantar,79,1,15.15,489,1467,569,1482.15,5,BAIXA
2024-07-27,jantar,59,0,0,344,1032,403,1032,6,BAIXA
2024-07-29,almoço,74,0,0,430,1290,504,1290,1,BAIXA
2024-07-29,jantar,80,0,0,571,1713,651,1713,1,BAIXA
2024-07-30,almoço,87,0,0,519,1557,606,1557,2,BAIXA
2024-07-30,jantar,85,1,15.15,600,1800,686,1815.15,2,BAIXA
2024-07-31,almoço,73,0,0,503,1509,576,1509,3,BAIXA
2024-07-31,jantar,75,0,0,540,1620,615,1620,3,BAIXA
